"Periods";"Regions";"Average purchase price (euro)"
"1995";"Groningen (PV)";67913
"1996";"Groningen (PV)";72509
"1997";"Groningen (PV)";79297
"1998";"Groningen (PV)";84559
"1999";"Groningen (PV)";96075
"2000";"Groningen (PV)";111768
"2001";"Groningen (PV)";129222
"2002";"Groningen (PV)";141432
"2003";"Groningen (PV)";148159
"2004";"Groningen (PV)";155116
"2005";"Groningen (PV)";168081
"2006";"Groningen (PV)";177983
"2007";"Groningen (PV)";186935
"2008";"Groningen (PV)";188062
"2009";"Groningen (PV)";181358
"2010";"Groningen (PV)";177940
"2011";"Groningen (PV)";180603
"2012";"Groningen (PV)";172575
"2013";"Groningen (PV)";163505
"2014";"Groningen (PV)";165832
"2015";"Groningen (PV)";171679
"2016";"Groningen (PV)";180595
"2017";"Groningen (PV)";195057
"2018";"Groningen (PV)";205000
"2019";"Groningen (PV)";219283
"2020";"Groningen (PV)";241080
"2021";"Groningen (PV)";283578
"2022";"Groningen (PV)";319184
"2023";"Groningen (PV)";313679
"1995";"Fryslân (PV)";67992
"1996";"Fryslân (PV)";74361
"1997";"Fryslân (PV)";82212
"1998";"Fryslân (PV)";91036
"1999";"Fryslân (PV)";106520
"2000";"Fryslân (PV)";125834
"2001";"Fryslân (PV)";140906
"2002";"Fryslân (PV)";156299
"2003";"Fryslân (PV)";161157
"2004";"Fryslân (PV)";172671
"2005";"Fryslân (PV)";178770
"2006";"Fryslân (PV)";190517
"2007";"Fryslân (PV)";197251
"2008";"Fryslân (PV)";203889
"2009";"Fryslân (PV)";193069
"2010";"Fryslân (PV)";195349
"2011";"Fryslân (PV)";191714
"2012";"Fryslân (PV)";180784
"2013";"Fryslân (PV)";169899
"2014";"Fryslân (PV)";174240
"2015";"Fryslân (PV)";180461
"2016";"Fryslân (PV)";187950
"2017";"Fryslân (PV)";201430
"2018";"Fryslân (PV)";216116
"2019";"Fryslân (PV)";230643
"2020";"Fryslân (PV)";254223
"2021";"Fryslân (PV)";290253
"2022";"Fryslân (PV)";325113
"2023";"Fryslân (PV)";323765
"1995";"Drenthe (PV)";84984
"1996";"Drenthe (PV)";91422
"1997";"Drenthe (PV)";95585
"1998";"Drenthe (PV)";107476
"1999";"Drenthe (PV)";124071
"2000";"Drenthe (PV)";147524
"2001";"Drenthe (PV)";162681
"2002";"Drenthe (PV)";171613
"2003";"Drenthe (PV)";176452
"2004";"Drenthe (PV)";182054
"2005";"Drenthe (PV)";192449
"2006";"Drenthe (PV)";205685
"2007";"Drenthe (PV)";215473
"2008";"Drenthe (PV)";214763
"2009";"Drenthe (PV)";199306
"2010";"Drenthe (PV)";205264
"2011";"Drenthe (PV)";203389
"2012";"Drenthe (PV)";193844
"2013";"Drenthe (PV)";181850
"2014";"Drenthe (PV)";185239
"2015";"Drenthe (PV)";194566
"2016";"Drenthe (PV)";205504
"2017";"Drenthe (PV)";213562
"2018";"Drenthe (PV)";228433
"2019";"Drenthe (PV)";241941
"2020";"Drenthe (PV)";266616
"2021";"Drenthe (PV)";316653
"2022";"Drenthe (PV)";355510
"2023";"Drenthe (PV)";349757
"1995";"Overijssel (PV)";83597
"1996";"Overijssel (PV)";90786
"1997";"Overijssel (PV)";102179
"1998";"Overijssel (PV)";110332
"1999";"Overijssel (PV)";128295
"2000";"Overijssel (PV)";152617
"2001";"Overijssel (PV)";170174
"2002";"Overijssel (PV)";178482
"2003";"Overijssel (PV)";185090
"2004";"Overijssel (PV)";191927
"2005";"Overijssel (PV)";198475
"2006";"Overijssel (PV)";206909
"2007";"Overijssel (PV)";215724
"2008";"Overijssel (PV)";219612
"2009";"Overijssel (PV)";212375
"2010";"Overijssel (PV)";211088
"2011";"Overijssel (PV)";208185
"2012";"Overijssel (PV)";202549
"2013";"Overijssel (PV)";189733
"2014";"Overijssel (PV)";197070
"2015";"Overijssel (PV)";198713
"2016";"Overijssel (PV)";210683
"2017";"Overijssel (PV)";227193
"2018";"Overijssel (PV)";244270
"2019";"Overijssel (PV)";260130
"2020";"Overijssel (PV)";282983
"2021";"Overijssel (PV)";325701
"2022";"Overijssel (PV)";365460
"2023";"Overijssel (PV)";365733
"1995";"Flevoland (PV)";91262
"1996";"Flevoland (PV)";97970
"1997";"Flevoland (PV)";99788
"1998";"Flevoland (PV)";108375
"1999";"Flevoland (PV)";123189
"2000";"Flevoland (PV)";155987
"2001";"Flevoland (PV)";161364
"2002";"Flevoland (PV)";179349
"2003";"Flevoland (PV)";188406
"2004";"Flevoland (PV)";191995
"2005";"Flevoland (PV)";196149
"2006";"Flevoland (PV)";206641
"2007";"Flevoland (PV)";212973
"2008";"Flevoland (PV)";219260
"2009";"Flevoland (PV)";205904
"2010";"Flevoland (PV)";206530
"2011";"Flevoland (PV)";199148
"2012";"Flevoland (PV)";189322
"2013";"Flevoland (PV)";178294
"2014";"Flevoland (PV)";188445
"2015";"Flevoland (PV)";194188
"2016";"Flevoland (PV)";204317
"2017";"Flevoland (PV)";226753
"2018";"Flevoland (PV)";253875
"2019";"Flevoland (PV)";269589
"2020";"Flevoland (PV)";301754
"2021";"Flevoland (PV)";351576
"2022";"Flevoland (PV)";405900
"2023";"Flevoland (PV)";394736
"1995";"Gelderland (PV)";101759
"1996";"Gelderland (PV)";112124
"1997";"Gelderland (PV)";123558
"1998";"Gelderland (PV)";138226
"1999";"Gelderland (PV)";161724
"2000";"Gelderland (PV)";190676
"2001";"Gelderland (PV)";208459
"2002";"Gelderland (PV)";216950
"2003";"Gelderland (PV)";221397
"2004";"Gelderland (PV)";230637
"2005";"Gelderland (PV)";236534
"2006";"Gelderland (PV)";248968
"2007";"Gelderland (PV)";261513
"2008";"Gelderland (PV)";264983
"2009";"Gelderland (PV)";247406
"2010";"Gelderland (PV)";245990
"2011";"Gelderland (PV)";245088
"2012";"Gelderland (PV)";233365
"2013";"Gelderland (PV)";215875
"2014";"Gelderland (PV)";221921
"2015";"Gelderland (PV)";227324
"2016";"Gelderland (PV)";237769
"2017";"Gelderland (PV)";255392
"2018";"Gelderland (PV)";275915
"2019";"Gelderland (PV)";296243
"2020";"Gelderland (PV)";323723
"2021";"Gelderland (PV)";379346
"2022";"Gelderland (PV)";422110
"2023";"Gelderland (PV)";413316
"1995";"Utrecht (PV)";109909
"1996";"Utrecht (PV)";118383
"1997";"Utrecht (PV)";135128
"1998";"Utrecht (PV)";150746
"1999";"Utrecht (PV)";179524
"2000";"Utrecht (PV)";210598
"2001";"Utrecht (PV)";225623
"2002";"Utrecht (PV)";233166
"2003";"Utrecht (PV)";237360
"2004";"Utrecht (PV)";247971
"2005";"Utrecht (PV)";257807
"2006";"Utrecht (PV)";272931
"2007";"Utrecht (PV)";290511
"2008";"Utrecht (PV)";301065
"2009";"Utrecht (PV)";280228
"2010";"Utrecht (PV)";283922
"2011";"Utrecht (PV)";282944
"2012";"Utrecht (PV)";267112
"2013";"Utrecht (PV)";249506
"2014";"Utrecht (PV)";256282
"2015";"Utrecht (PV)";264382
"2016";"Utrecht (PV)";282981
"2017";"Utrecht (PV)";316244
"2018";"Utrecht (PV)";349404
"2019";"Utrecht (PV)";371727
"2020";"Utrecht (PV)";404811
"2021";"Utrecht (PV)";460992
